Student Number,Name,Section,Grade,Date,Family,FD,Friends,FFD,Personal &  Health,PD,Academic / School,AD,Career,CD,Remarks,Recommendations,Others
,Rafael M. Santos,Ignatius,Grade 9,2024-02-02,financial discomfort,,incompatibilities,,poor health,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Samira J. Castillo,Vincent,Grade 8,2024-02-03,parental pressure,,mistrust,,low self-esteem,,laziness,,change of interest,,,for assessment,
,Teresa N. Cruz,Gabriel,Grade 7,2024-02-04,financial discomfort,,bullying,,psychological disturbances,,difficult subjects,,undecided,,,for follow-up,
,Uriel P. Rivera,James,Grade 10,2024-02-05,sibling rivalry,,peer pressure,,physical disabilities,,failing marks,,no identified career,,,conference with parent/guardian,
,Veronica C. Bautista,Ignatius,Grade 9,2024-02-06,parent-child misunderstanding,,adjustment difficulties,,stress,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Warren A. Aquino,Vincent,Grade 8,2024-02-07,lack of quality time,,boy-girl relationship,,hospitalization,,transition to school life,,parents choice,,,for assessment,
,Xander B. Garcia,Gabriel,Grade 7,2024-02-08,parental pressure,,incompatibilities,,gender confusion,,learning difficulties,,change of interest,,,for follow-up,
,Ysa L. Ramos,James,Grade 10,2024-02-09,parent-child misunderstanding,,mistrust,,poor health,,teacher/s,,undecided,,,conference with parent/guardian,
,Zachary T. Perez,Ignatius,Grade 9,2024-02-10,financial discomfort,,bullying,,low self-esteem,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Ana P. Delgado,Vincent,Grade 8,2024-02-11,sibling rivalry,,peer pressure,,psychological disturbances,,difficult subjects,,confusion,,,for assessment,
,Benicio J. Morales,Gabriel,Grade 7,2024-02-12,lack of quality time,,adjustment difficulties,,physical disabilities,,failing marks,,parents choice,,,for follow-up,
,Celine R. Torres,James,Grade 10,2024-02-13,parental pressure,,boy-girl relationship,,stress,,misbehavior,,change of interest,,,conference with parent/guardian,
,Dominic V. Reyes,Ignatius,Grade 9,2024-02-14,sibling rivalry,,incompatibilities,,hospitalization,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Eliza F. Villanueva,Vincent,Grade 8,2024-02-15,financial discomfort,,mistrust,,gender confusion,,learning difficulties,,no identified career,,,for assessment,
,Franco A. Mendoza,Gabriel,Grade 7,2024-02-16,parent-child misunderstanding,,bullying,,poor health,,teacher/s,,confusion,,,for follow-up,
,Gia R. Ramos,James,Grade 10,2024-02-17,lack of quality time,,peer pressure,,low self-esteem,,laziness,,parents choice,,,conference with parent/guardian,
,Hector T. Santos,Ignatius,Grade 9,2024-02-18,parental pressure,,adjustment difficulties,,psychological disturbances,,difficult subjects,,change of interest,,,conference with adviser/subject teacher,
,Iza G. Aquino,Vincent,Grade 8,2024-02-19,parent-child misunderstanding,,boy-girl relationship,,physical disabilities,,failing marks,,undecided,,,for assessment,
,Jerome P. Herrera,Gabriel,Grade 7,2024-02-20,financial discomfort,,incompatibilities,,stress,,misbehavior,,no identified career,,,for follow-up,
,Kylie L. Garcia,James,Grade 10,2024-02-21,sibling rivalry,,mistrust,,hospitalization,,transition to school life,,confusion,,,conference with parent/guardian,
,Lorenzo D. Cruz,Ignatius,Grade 9,2024-02-22,lack of quality time,,bullying,,gender confusion,,learning difficulties,,parents choice,,,conference with adviser/subject teacher,
,Marcela E. Rivera,Vincent,Grade 8,2024-02-23,parental pressure,,peer pressure,,poor health,,teacher/s,,change of interest,,,for assessment,
,Niko B. Perez,Gabriel,Grade 7,2024-02-24,lack of quality time,,adjustment difficulties,,low self-esteem,,laziness,,undecided,,,for follow-up,
,Oliver A. Bautista,James,Grade 10,2024-02-25,sibling rivalry,,boy-girl relationship,,psychological disturbances,,difficult subjects,,no identified career,,,conference with parent/guardian,
,Pia F. Castillo,Ignatius,Grade 9,2024-02-26,parent-child misunderstanding,,incompatibilities,,physical disabilities,,failing marks,,confusion,,,conference with adviser/subject teacher,
,Quinlan T. Torres,Vincent,Grade 8,2024-02-27,financial discomfort,,mistrust,,stress,,misbehavior,,parents choice,,,for assessment,
,Riel M. Morales,Gabriel,Grade 7,2024-02-28,parental pressure,,bullying,,hospitalization,,transition to school life,,change of interest,,,for follow-up,
,Sara G. Reyes,James,Grade 10,2024-02-29,parent-child misunderstanding,,peer pressure,,gender confusion,,learning difficulties,,undecided,,,conference with parent/guardian,
,Tristan L. Mendoza,Ignatius,Grade 9,2024-03-01,financial discomfort,,adjustment difficulties,,poor health,,teacher/s,,no identified career,,,conference with adviser/subject teacher,
,Ulysses K. Ramos,Vincent,Grade 8,2024-03-02,sibling rivalry,,boy-girl relationship,,low self-esteem,,laziness,,confusion,,,for assessment,
,Veronica J. Villanueva,Gabriel,Grade 7,2024-03-03,lack of quality time,,incompatibilities,,psychological disturbances,,difficult subjects,,parents choice,,,for follow-up,
,Wilfredo C. Bautista,James,Grade 10,2024-03-04,parental pressure,,mistrust,,physical disabilities,,failing marks,,change of interest,,,conference with parent/guardian,
,Xyra A. Aquino,Ignatius,Grade 9,2024-03-05,sibling rivalry,,bullying,,stress,,misbehavior,,undecided,,,conference with adviser/subject teacher,
,Yannis P. Herrera,Vincent,Grade 8,2024-03-06,financial discomfort,,peer pressure,,hospitalization,,transition to school life,,no identified career,,,for assessment,
,Zoey T. Castillo,Gabriel,Grade 7,2024-03-07,parent-child misunderstanding,,adjustment difficulties,,gender confusion,,learning difficulties,,confusion,,,for follow-up,
,Axel G. Santos,James,Grade 10,2024-03-08,lack of quality time,,boy-girl relationship,,poor health,,teacher/s,,parents choice,,,conference with parent/guardian,
,Belen M. Ramos,Ignatius,Grade 9,2024-03-09,parental pressure,,incompatibilities,,low self-esteem,,laziness,,change of interest,,,conference with adviser/subject teacher,
,Caesar J. Perez,Vincent,Grade 8,2024-03-10,parent-child misunderstanding,,mistrust,,psychological disturbances,,difficult subjects,,undecided,,,for assessment,
,Dianne L. Reyes,Gabriel,Grade 7,2024-03-11,financial discomfort,,bullying,,physical disabilities,,failing marks,,no identified career,,,for follow-up,
,Emmanuel A. Mendoza,James,Grade 10,2024-03-12,sibling rivalry,,peer pressure,,stress,,misbehavior,,confusion,,,conference with parent/guardian,
,Felicia P. Rivera,Ignatius,Grade 9,2024-03-13,lack of quality time,,adjustment difficulties,,hospitalization,,transition to school life,,parents choice,,,conference with adviser/subject teacher,
,Gian L. Torres,Vincent,Grade 8,2024-03-14,parental pressure,,boy-girl relationship,,gender confusion,,learning difficulties,,change of interest,,,for assessment,
,Harold R. Garcia,Gabriel,Grade 7,2024-03-15,lack of quality time,,incompatibilities,,poor health,,teacher/s,,undecided,,,for follow-up,
,Isobel D. Cruz,James,Grade 10,2024-03-16,sibling rivalry,,mistrust,,low self-esteem,,laziness,,no identified career,,,conference with parent/guardian,
,Jeffrey F. Bautista,Ignatius,Grade 9,2024-03-17,parent-child misunderstanding,,bullying,,psychological disturbances,,difficult subjects,,confusion,,,conference with adviser/subject teacher,
,Kendra T. Aquino,Vincent,Grade 8,2024-03-18,financial discomfort,,peer pressure,,physical disabilities,,failing marks,,parents choice,,,for assessment,
,Luis G. Herrera,Gabriel,Grade 7,2024-03-19,parental pressure,,adjustment difficulties,,stress,,misbehavior,,change of interest,,,for follow-up,
,Marisol B. Ramos,James,Grade 10,2024-03-20,parent-child misunderstanding,,boy-girl relationship,,hospitalization,,transition to school life,,undecided,,,conference with parent/guardian,
,Noel C. Santos,Ignatius,Grade 9,2024-03-21,financial discomfort,,incompatibilities,,gender confusion,,learning difficulties,,no identified career,,,conference with adviser/subject teacher,
,Odessa A. Mendoza,Vincent,Grade 8,2024-03-22,sibling rivalry,,mistrust,,poor health,,teacher/s,,confusion,,,for assessment,
,Pedro J. Villanueva,Gabriel,Grade 7,2024-03-23,lack of quality time,,bullying,,low self-esteem,,laziness,,parents choice,,,for follow-up,
,Quinby P. Reyes,James,Grade 10,2024-03-24,parental pressure,,peer pressure,,psychological disturbances,,difficult subjects,,change of interest,,,conference with parent/guardian,
,Roxanne L. Perez,Joseph,Grade 9,2024-03-25,sibling rivalry,,adjustment difficulties,,physical disabilities,,failing marks,,undecided,,,conference with adviser/subject teacher,
,Samson F. Torres,Benedict,Grade 8,2024-03-26,financial discomfort,,boy-girl relationship,,stress,,misbehavior,,no identified career,,,for assessment,
,Tanya R. Aquino,Gabriel,Grade 7,2024-03-27,parent-child misunderstanding,,incompatibilities,,hospitalization,,transition to school life,,confusion,,,for follow-up,
,Ulysses C. Garcia,James,Grade 10,2024-03-28,lack of quality time,,mistrust,,gender confusion,,learning difficulties,,parents choice,,,conference with parent/guardian,
,Violeta M. Ramos,Joseph,Grade 9,2024-03-29,parental pressure,,bullying,,poor health,,teacher/s,,change of interest,,,conference with adviser/subject teacher,
,Warren P. Bautista,Benedict,Grade 8,2024-03-30,parent-child misunderstanding,,peer pressure,,low self-esteem,,laziness,,undecided,,,for assessment,
,Xian L. Morales,Gabriel,Grade 7,2024-03-31,financial discomfort,,adjustment difficulties,,psychological disturbances,,difficult subjects,,no identified career,,,for follow-up,
,Yvette G. Herrera,James,Grade 10,2024-04-01,sibling rivalry,,boy-girl relationship,,physical disabilities,,failing marks,,confusion,,,conference with parent/guardian,
,Zackery J. Rivera,Joseph,Grade 9,2024-04-02,lack of quality time,,incompatibilities,,stress,,misbehavior,,parents choice,,,conference with adviser/subject teacher,
,Andrea T. Castillo,Benedict,Grade 8,2024-04-03,parental pressure,,mistrust,,hospitalization,,transition to school life,,change of interest,,,for assessment,
,Brandon R. Villanueva,Gabriel,Grade 7,2024-04-04,lack of quality time,,bullying,,gender confusion,,learning difficulties,,undecided,,,for follow-up,
,Camille D. Reyes,James,Grade 10,2024-04-05,sibling rivalry,,peer pressure,,poor health,,teacher/s,,no identified career,,,conference with parent/guardian,
,Derek P. Santos,Joseph,Grade 9,2024-04-06,parent-child misunderstanding,,adjustment difficulties,,low self-esteem,,laziness,,confusion,,,conference with adviser/subject teacher,
,Eloise F. Mendoza,Benedict,Grade 8,2024-04-07,financial discomfort,,boy-girl relationship,,psychological disturbances,,difficult subjects,,parents choice,,,for assessment,
,Franco L. Aquino,Michael,Grade 7,2024-04-08,parental pressure,,incompatibilities,,physical disabilities,,failing marks,,change of interest,,,for follow-up,
,Grace P. Ramos,James,Grade 10,2024-04-09,parent-child misunderstanding,,mistrust,,stress,,misbehavior,,undecided,,,conference with parent/guardian,
,Henry A. Garcia,Joseph,Grade 9,2024-04-10,financial discomfort,,bullying,,hospitalization,,transition to school life,,no identified career,,,conference with adviser/subject teacher,
,Ivy T. Villanueva,Benedict,Grade 8,2024-04-11,sibling rivalry,,peer pressure,,gender confusion,,learning difficulties,,confusion,,,for assessment,
,Jason D. Herrera,Michael,Grade 7,2024-04-12,lack of quality time,,adjustment difficulties,,poor health,,teacher/s,,parents choice,,,for follow-up,
,Kirsten L. Torres,John,Grade 10,2024-04-13,parental pressure,,boy-girl relationship,,low self-esteem,,laziness,,change of interest,,,conference with parent/guardian,
,Leo M. Perez,Joseph,Grade 9,2024-04-14,sibling rivalry,,incompatibilities,,psychological disturbances,,difficult subjects,,undecided,,,conference with adviser/subject teacher,
,Maxine R. Bautista,Benedict,Grade 8,2024-04-15,financial discomfort,,mistrust,,physical disabilities,,failing marks,,no identified career,,,for assessment,
,Nico P. Reyes,Michael,Grade 7,2024-04-16,parent-child misunderstanding,,bullying,,stress,,misbehavior,,confusion,,,for follow-up,
,Olive T. Mendoza,John,Grade 10,2024-04-17,lack of quality time,,peer pressure,,hospitalization,,transition to school life,,parents choice,,,conference with parent/guardian,
,Pauline L. Santos,Joseph,Grade 9,2024-04-18,parental pressure,,adjustment difficulties,,gender confusion,,learning difficulties,,change of interest,,,conference with adviser/subject teacher,
,Quiana A. Rivera,Benedict,Grade 8,2024-04-19,parent-child misunderstanding,,boy-girl relationship,,poor health,,teacher/s,,undecided,,,for assessment,
,Robin G. Ramos,Michael,Grade 7,2024-04-20,financial discomfort,,incompatibilities,,low self-esteem,,laziness,,no identified career,,,for follow-up,
,Sheila B. Aquino,John,Grade 10,2024-04-21,sibling rivalry,,mistrust,,psychological disturbances,,difficult subjects,,confusion,,,conference with parent/guardian,
,Theodore J. Morales,Joseph,Grade 9,2024-04-22,lack of quality time,,bullying,,physical disabilities,,failing marks,,parents choice,,,conference with adviser/subject teacher,
,Ursula P. Villanueva,Benedict,Grade 8,2024-04-23,parental pressure,,peer pressure,,stress,,misbehavior,,change of interest,,,for assessment,
,Violeta R. Perez,Michael,Grade 7,2024-04-24,lack of quality time,,adjustment difficulties,,hospitalization,,transition to school life,,undecided,,,for follow-up,
,Wally T. Ramos,John,Grade 10,2024-04-25,sibling rivalry,,boy-girl relationship,,gender confusion,,learning difficulties,,no identified career,,,conference with parent/guardian,
,Xander G. Bautista,Joseph,Grade 9,2024-04-26,parent-child misunderstanding,,incompatibilities,,poor health,,teacher/s,,confusion,,,conference with adviser/subject teacher,
,Yvonne P. Aquino,Benedict,Grade 8,2024-04-27,financial discomfort,,mistrust,,low self-esteem,,laziness,,parents choice,,,for assessment,
,Zoe L. Herrera,Michael,Grade 7,2024-04-28,parental pressure,,bullying,,psychological disturbances,,difficult subjects,,change of interest,,,for follow-up,
,Arnold C. Garcia,John,Grade 10,2024-04-29,parent-child misunderstanding,,peer pressure,,physical disabilities,,failing marks,,undecided,,,conference with parent/guardian,
,Bella R. Mendoza,Joseph,Grade 9,2024-04-30,financial discomfort,,adjustment difficulties,,stress,,misbehavior,,no identified career,,,conference with adviser/subject teacher,
,Caren D. Villanueva,Benedict,Grade 8,2024-05-01,sibling rivalry,,boy-girl relationship,,hospitalization,,transition to school life,,confusion,,,for assessment,
,Damian T. Santos,Michael,Grade 7,2024-05-02,lack of quality time,,incompatibilities,,gender confusion,,learning difficulties,,parents choice,,,for follow-up,
,Eliza G. Torres,John,Grade 10,2024-05-03,parental pressure,,mistrust,,poor health,,teacher/s,,change of interest,,,conference with parent/guardian,
,Fabian J. Ramos,Joseph,Grade 9,2024-05-04,sibling rivalry,,bullying,,low self-esteem,,laziness,,undecided,,,conference with adviser/subject teacher,
,Giselle L. Reyes,Benedict,Grade 8,2024-05-05,financial discomfort,,peer pressure,,psychological disturbances,,difficult subjects,,no identified career,,,for assessment,
,Hector P. Aquino,Michael,Grade 7,2024-05-06,parent-child misunderstanding,,adjustment difficulties,,physical disabilities,,failing marks,,confusion,,,for follow-up,
,Ingrid B. Rivera,John,Grade 10,2024-05-07,lack of quality time,,boy-girl relationship,,stress,,misbehavior,,parents choice,,,conference with parent/guardian,
,Jomar A. Mendoza,Joseph,Grade 9,2024-05-08,parental pressure,,incompatibilities,,hospitalization,,transition to school life,,change of interest,,,conference with adviser/subject teacher,
,Kaleb D. Ramos,Benedict,Grade 8,2024-05-09,parent-child misunderstanding,,mistrust,,gender confusion,,learning difficulties,,undecided,,,for assessment,
,Laila P. Villanueva,Michael,Grade 7,2024-05-10,financial discomfort,,bullying,,poor health,,teacher/s,,no identified career,,,for follow-up,
,Miguel G. Garcia,John,Grade 10,2024-05-11,sibling rivalry,,peer pressure,,low self-esteem,,laziness,,confusion,,,conference with parent/guardian,
,Nadia F. Herrera,Joseph,Grade 9,2024-05-12,lack of quality time,,adjustment difficulties,,psychological disturbances,,difficult subjects,,parents choice,,,conference with adviser/subject teacher,
,Omar L. Santos,Benedict,Grade 8,2024-05-13,parental pressure,,boy-girl relationship,,physical disabilities,,failing marks,,change of interest,,,for assessment,
,Pilar T. Reyes,Michael,Grade 7,2024-05-14,lack of quality time,,incompatibilities,,stress,,misbehavior,,undecided,,,for follow-up,
,Quincey R. Bautista,John,Grade 10,2024-05-15,sibling rivalry,,mistrust,,hospitalization,,transition to school life,,no identified career,,,conference with parent/guardian,
,Ricardo P. Aquino,Joseph,Grade 9,2024-05-16,parent-child misunderstanding,,bullying,,gender confusion,,learning difficulties,,confusion,,,conference with adviser/subject teacher,
,Sylvester L. Torres,Benedict,Grade 8,2024-05-17,financial discomfort,,peer pressure,,poor health,,teacher/s,,parents choice,,,for assessment,
,Tanya J. Morales,Michael,Grade 7,2024-05-18,parental pressure,,adjustment difficulties,,low self-esteem,,laziness,,change of interest,,,for follow-up,
,Uriel G. Mendoza,John,Grade 10,2024-05-19,parent-child misunderstanding,,boy-girl relationship,,psychological disturbances,,difficult subjects,,undecided,,,conference with parent/guardian,
,Vance P. Rivera,Joseph,Grade 9,2024-05-20,financial discomfort,,incompatibilities,,physical disabilities,,failing marks,,no identified career,,,conference with adviser/subject teacher,
,Winnie T. Reyes,Benedict,Grade 8,2024-05-21,sibling rivalry,,mistrust,,stress,,misbehavior,,confusion,,,for assessment,
,Xavier D. Santos,Michael,Grade 7,2024-05-22,lack of quality time,,bullying,,hospitalization,,transition to school life,,parents choice,,,for follow-up,
,Yvonne A. Villanueva,John,Grade 10,2024-05-23,parental pressure,,peer pressure,,gender confusion,,learning difficulties,,change of interest,,,conference with parent/guardian,
,Zoey P. Ramos,Joseph,Grade 9,2024-05-24,sibling rivalry,,adjustment difficulties,,poor health,,teacher/s,,undecided,,,conference with adviser/subject teacher,
,Alvin F. Herrera,Benedict,Grade 8,2024-05-25,financial discomfort,,boy-girl relationship,,low self-esteem,,laziness,,no identified career,,,for assessment,
,Bernadette T. Garcia,Michael,Grade 7,2024-05-26,parent-child misunderstanding,,incompatibilities,,psychological disturbances,,difficult subjects,,confusion,,,for follow-up,
,Carlo L. Mendoza,John,Grade 10,2024-05-27,lack of quality time,,mistrust,,physical disabilities,,failing marks,,parents choice,,,conference with parent/guardian,
,Daisy R. Aquino,Joseph,Grade 9,2024-05-28,parental pressure,,bullying,,stress,,misbehavior,,change of interest,,,conference with adviser/subject teacher,
,Eli J. Ramos,Benedict,Grade 8,2024-05-29,parent-child misunderstanding,,peer pressure,,hospitalization,,transition to school life,,undecided,,,for assessment,
,Faye P. Reyes,Michael,Grade 7,2024-05-30,financial discomfort,,adjustment difficulties,,gender confusion,,learning difficulties,,no identified career,,,for follow-up,
,George T. Santos,John,Grade 10,2024-05-31,sibling rivalry,,boy-girl relationship,,poor health,,teacher/s,,confusion,,,conference with parent/guardian,
,Hector A. Torres,Lorenzo,Grade 9,2024-06-01,lack of quality time,,incompatibilities,,low self-esteem,,laziness,,parents choice,,,conference with adviser/subject teacher,
,Ivy B. Villanueva,Benedict,Grade 8,2024-06-02,parental pressure,,mistrust,,psychological disturbances,,difficult subjects,,change of interest,,,for assessment,
,Jason F. Aquino,Michael,Grade 7,2024-06-03,lack of quality time,,bullying,,physical disabilities,,failing marks,,undecided,,,for follow-up,
,Kim T. Mendoza,    John,Grade 10,2024-06-04,sibling rivalry,,peer pressure,,stress,,misbehavior,,no identified career,,,conference with parent/guardian,
,Lyle R. Garcia,Lorenzo,Grade 9,2024-06-05,parent-child misunderstanding,,adjustment difficulties,,hospitalization,,transition to school life,,confusion,,,conference with adviser/subject teacher,
,Mona D. Ramos,Charles,Grade 8,2024-06-06,financial discomfort,,boy-girl relationship,,gender confusion,,learning difficulties,,parents choice,,,for assessment,
,Norah P. Villanueva,Michael,Grade 7,2024-06-07,parental pressure,,incompatibilities,,poor health,,teacher/s,,change of interest,,,for follow-up,
,Omar F. Reyes,John,Grade 10,2024-06-08,parent-child misunderstanding,,mistrust,,low self-esteem,,laziness,,undecided,,,conference with parent/guardian,
,Pia J. Herrera,Lorenzo,Grade 9,2024-06-09,financial discomfort,,bullying,,psychological disturbances,,difficult subjects,,no identified career,,,conference with adviser/subject teacher,
,Quentin T. Santos,Charles,Grade 8,2024-06-10,sibling rivalry,,peer pressure,,physical disabilities,,failing marks,,confusion,,,for assessment,
,Ralph P. Mendoza,Michael,Grade 7,2024-06-11,lack of quality time,,adjustment difficulties,,stress,,misbehavior,,parents choice,,,for follow-up,
,Sheila L. Ramos,John,Grade 10,2024-06-12,parental pressure,,boy-girl relationship,,hospitalization,,transition to school life,,change of interest,,,conference with parent/guardian,
,Tommy R. Aquino,Lorenzo,Grade 9,2024-06-13,sibling rivalry,,incompatibilities,,gender confusion,,learning difficulties,,undecided,,,conference with adviser/subject teacher,
,Ulysses J. Garcia,Charles,Grade 8,2024-06-14,financial discomfort,,mistrust,,poor health,,teacher/s,,no identified career,,,for assessment,
,Vera P. Villanueva,Michael,Grade 7,2024-06-15,parent-child misunderstanding,,bullying,,low self-esteem,,laziness,,confusion,,,for follow-up,
,Willard F. Torres,John,Grade 10,2024-06-16,lack of quality time,,peer pressure,,psychological disturbances,,difficult subjects,,parents choice,,,conference with parent/guardian,
,Xenia L. Bautista,Lorenzo,Grade 9,2024-06-17,parental pressure,,adjustment difficulties,,physical disabilities,,failing marks,,change of interest,,,conference with adviser/subject teacher,
,Yasmin P. Reyes,Charles,Grade 8,2024-06-18,parent-child misunderstanding,,boy-girl relationship,,stress,,misbehavior,,undecided,,,for assessment,
,Zane T. Aquino,Michael,Grade 7,2024-06-19,financial discomfort,,incompatibilities,,hospitalization,,transition to school life,,no identified career,,,for follow-up,
,Andres G. Ramos,John,Grade 10,2024-06-20,sibling rivalry,,mistrust,,gender confusion,,learning difficulties,,confusion,,,conference with parent/guardian,
,Belle R. Mendoza,Lorenzo,Grade 9,2024-06-21,lack of quality time,,bullying,,poor health,,teacher/s,,parents choice,,,conference with adviser/subject teacher,
,Carlo P. Villanueva,Charles,Grade 8,2024-06-22,parental pressure,,peer pressure,,low self-esteem,,laziness,,change of interest,,,for assessment,
,Denise A. Santos,Michael,Grade 7,2024-06-23,lack of quality time,,adjustment difficulties,,psychological disturbances,,difficult subjects,,undecided,,,for follow-up,
,Elias J. Torres,John,Grade 10,2024-06-24,sibling rivalry,,boy-girl relationship,,physical disabilities,,failing marks,,no identified career,,,conference with parent/guardian,
,Felicity F. Aquino,Lorenzo,Grade 9,2024-06-25,parent-child misunderstanding,,incompatibilities,,stress,,misbehavior,,confusion,,,conference with adviser/subject teacher,
,Gideon L. Reyes,Charles,Grade 8,2024-06-26,financial discomfort,,mistrust,,hospitalization,,transition to school life,,parents choice,,,for assessment,
,Heidi B. Garcia,Michael,Grade 7,2024-06-27,parental pressure,,bullying,,gender confusion,,learning difficulties,,change of interest,,,for follow-up,
,Imani R. Ramos,John,Grade 10,2024-06-28,parent-child misunderstanding,,peer pressure,,poor health,,teacher/s,,undecided,,,conference with parent/guardian,
,Jericho T. Mendoza,Lorenzo,Grade 9,2024-06-29,financial discomfort,,adjustment difficulties,,low self-esteem,,laziness,,no identified career,,,conference with adviser/subject teacher,
,Kendra P. Villanueva,Charles,Grade 8,2024-06-30,sibling rivalry,,boy-girl relationship,,psychological disturbances,,difficult subjects,,confusion,,,for assessment,
,Luis F. Aquino,Judiel,Grade 7,2024-07-01,lack of quality time,,incompatibilities,,physical disabilities,,failing marks,,parents choice,,,for follow-up,
,Micaela J. Santos,John,Grade 10,2024-07-02,parental pressure,,mistrust,,stress,,misbehavior,,change of interest,,,conference with parent/guardian,
,Nisha T. Reyes,Lorenzo,Grade 9,2024-07-03,sibling rivalry,,bullying,,hospitalization,,transition to school life,,undecided,,,conference with adviser/subject teacher,
,Oliver R. Garcia,Charles,Grade 8,2024-07-04,financial discomfort,,peer pressure,,gender confusion,,learning difficulties,,no identified career,,,for assessment,
,Pauline L. Herrera,Judiel,Grade 7,2024-07-05,parent-child misunderstanding,,adjustment difficulties,,poor health,,teacher/s,,confusion,,,for follow-up,
,Quinton A. Mendoza,Luke,Grade 10,2024-07-06,lack of quality time,,boy-girl relationship,,low self-esteem,,laziness,,parents choice,,,conference with parent/guardian,
,Rose T. Ramos,Lorenzo,Grade 9,2024-07-07,parental pressure,,incompatibilities,,psychological disturbances,,difficult subjects,,change of interest,,,for follow-up,
,Stuart F. Aquino,Charles,Grade 8,2024-07-08,parent-child misunderstanding,,mistrust,,physical disabilities,,failing marks,,undecided,,,conference with parent/guardian,
,Trent P. Villanueva,Judiel,Grade 7,2024-07-09,financial discomfort,,bullying,,stress,,misbehavior,,no identified career,,,conference with adviser/subject teacher,
,Ursula G. Reyes,Luke,Grade 10,2024-07-10,sibling rivalry,,peer pressure,,hospitalization,,transition to school life,,confusion,,,for assessment,
,Verna L. Santos,Lorenzo,Grade 9,2024-07-11,lack of quality time,,adjustment difficulties,,gender confusion,,learning difficulties,,parents choice,,,for follow-up,
,Wanda P. Mendoza,Charles,Grade 8,2024-07-12,parental pressure,,boy-girl relationship,,poor health,,teacher/s,,change of interest,,,conference with parent/guardian,
,Xavier J. Ramos,Judiel,Grade 7,2024-07-13,lack of quality time,,incompatibilities,,low self-esteem,,laziness,,undecided,,,conference with adviser/subject teacher,
,Yannis L. Aquino,Luke,Grade 10,2024-07-14,sibling rivalry,,mistrust,,psychological disturbances,,difficult subjects,,no identified career,,,for assessment,
,Zora T. Villanueva,Lorenzo,Grade 9,2024-07-15,parent-child misunderstanding,,bullying,,physical disabilities,,failing marks,,confusion,,,for follow-up,
